,sub_center_id,Months_id,Months,Scores,Clusters
0,16160.0,0,01-Jan-2017,1.790145554596484,0
1,16161.0,0,01-Jan-2017,1.8863353679352943,1
2,16171.0,0,01-Jan-2017,1.924564978891264,1
3,16178.0,0,01-Jan-2017,1.9333908211637088,1
4,16182.0,0,01-Jan-2017,2.1314543100720225,1
5,16184.0,0,01-Jan-2017,2.1698869640689957,1
6,16185.0,0,01-Jan-2017,1.370267260637384,1
7,16190.0,0,01-Jan-2017,1.6623482082739334,0
8,16194.0,0,01-Jan-2017,1.9875280644238975,0
9,16196.0,0,01-Jan-2017,2.0019181884354844,1
10,16198.0,0,01-Jan-2017,1.7863420129957275,0
11,16199.0,0,01-Jan-2017,1.8885167103240155,0
12,16200.0,0,01-Jan-2017,1.8378811923286271,1
13,16210.0,0,01-Jan-2017,1.5651654964663322,0
14,16216.0,0,01-Jan-2017,1.8817530144370391,0
15,16218.0,0,01-Jan-2017,1.805781723266961,1
16,16222.0,0,01-Jan-2017,1.8864360706233363,0
17,16230.0,0,01-Jan-2017,1.3220019727458263,0
18,16234.0,0,01-Jan-2017,1.4548553455176758,0
19,16239.0,0,01-Jan-2017,1.9042449003015713,1
20,16248.0,0,01-Jan-2017,1.921281449816584,1
21,16250.0,0,01-Jan-2017,1.9272646317335396,0
22,16259.0,0,01-Jan-2017,1.5665564243321588,0
23,16263.0,0,01-Jan-2017,1.8445540546105301,0
24,16397.0,0,01-Jan-2017,1.8348967448791709,1
25,16401.0,0,01-Jan-2017,1.7330809978663333,0
26,16404.0,0,01-Jan-2017,2.1698869640689957,1
27,16407.0,0,01-Jan-2017,2.0867578081405664,1
28,16408.0,0,01-Jan-2017,1.9272646317335396,0
29,16410.0,0,01-Jan-2017,1.9251131467376705,0
30,16532.0,0,01-Jan-2017,1.8328444457670507,1
31,16536.0,0,01-Jan-2017,2.1698869640689957,1
32,16537.0,0,01-Jan-2017,1.4445199082706524,0
33,16538.0,0,01-Jan-2017,2.054204707308963,1
34,16546.0,0,01-Jan-2017,1.9272646317335396,0
35,16548.0,0,01-Jan-2017,2.1285191660786826,1
